Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,78200.0,79800.0,78200.0,79600.0,79239.90625,17142847
2024-01-03,78500.0,78800.0,77000.0,77000.0,76651.6640625,21753644
2024-01-04,76100.0,77300.0,76100.0,76600.0,76253.4765625,15324439
2024-01-05,76700.0,77100.0,76400.0,76600.0,76253.4765625,11304316
2024-01-08,77000.0,77500.0,76400.0,76500.0,76153.9296875,11088724
2024-01-09,77400.0,77700.0,74300.0,74700.0,74362.0703125,26019249
2024-01-10,75000.0,75200.0,73200.0,73600.0,73267.046875,20259529
2024-01-11,72900.0,73600.0,72700.0,73200.0,72868.859375,57691266
2024-01-12,73000.0,74100.0,72800.0,73100.0,72769.3125,13038939
2024-01-15,73200.0,74000.0,73200.0,73900.0,73565.6875,2957915
2024-01-16,73500.0,73700.0,72500.0,72600.0,72271.5703125,14760415
2024-01-17,73100.0,73300.0,71000.0,71000.0,70678.8125,22683660
2024-01-18,71600.0,72000.0,70700.0,71700.0,71375.640625,17853397
2024-01-19,73500.0,74700.0,73000.0,74700.0,74362.0703125,23363427
2024-01-22,75900.0,76000.0,75000.0,75100.0,74760.2578125,19673375
2024-01-23,75700.0,75800.0,74300.0,75200.0,74859.8125,14786224
2024-01-24,75200.0,75200.0,73500.0,74000.0,73665.234375,12860661
2024-01-25,74200.0,74800.0,73700.0,74100.0,73764.7890625,11737747
2024-01-26,73700.0,74500.0,73300.0,73400.0,73067.953125,11160062
2024-01-29,73800.0,75200.0,73500.0,74400.0,74063.4296875,13976521
2024-01-30,75000.0,75300.0,73700.0,74300.0,73963.8828125,12244418
2024-01-31,73400.0,74000.0,72500.0,72700.0,72371.1171875,15703560
2024-02-01,73000.0,74200.0,72900.0,73600.0,73267.046875,19881033
2024-02-02,74000.0,75200.0,73700.0,75200.0,74859.8125,14955881
2024-02-05,74200.0,74800.0,73500.0,74300.0,73963.8828125,19026021
2024-02-06,74300.0,74700.0,73300.0,74400.0,74063.4296875,14559254
2024-02-07,74600.0,75500.0,74300.0,75000.0,74660.7109375,16566445
2024-02-08,75000.0,75200.0,73600.0,74100.0,73764.7890625,20810708
2024-02-13,74800.0,75200.0,74400.0,75200.0,74859.8125,21966745
2024-02-14,73700.0,74300.0,73700.0,74000.0,73665.234375,12434945
2024-02-15,74200.0,74400.0,73000.0,73200.0,72868.859375,14120600
2024-02-16,73300.0,73400.0,72500.0,72800.0,72470.6640625,13444781
2024-02-19,72800.0,73900.0,72800.0,73800.0,73466.140625,12726404
2024-02-20,73700.0,73700.0,72800.0,73300.0,72968.40625,14681477
2024-02-21,73400.0,73700.0,72900.0,73000.0,72669.7578125,11503495
2024-02-22,73800.0,73900.0,72700.0,73100.0,72769.3125,15208934
2024-02-23,73600.0,74200.0,72900.0,72900.0,72570.2109375,16225166
2024-02-26,72300.0,73200.0,72200.0,72800.0,72470.6640625,14669352
2024-02-27,73100.0,73400.0,72700.0,72900.0,72570.2109375,13201981
2024-02-28,72900.0,73900.0,72800.0,73200.0,72868.859375,11795859
2024-02-29,72600.0,73400.0,72000.0,73400.0,73067.953125,21176403
2024-03-04,74300.0,75000.0,74000.0,74900.0,74561.1640625,23210474
2024-03-05,74600.0,74800.0,73700.0,73700.0,73366.59375,19505125
2024-03-06,73200.0,73500.0,72700.0,72900.0,72570.2109375,21547905
2024-03-07,73100.0,73300.0,72200.0,72200.0,71873.3828125,14516963
2024-03-08,72800.0,73400.0,72600.0,73300.0,72968.40625,19271349
2024-03-11,72900.0,73100.0,72300.0,72400.0,72072.4765625,9740504
2024-03-12,72600.0,73500.0,72100.0,73300.0,72968.40625,13011654
2024-03-13,73700.0,74100.0,73500.0,74100.0,73764.7890625,15243134
2024-03-14,74400.0,74500.0,73600.0,74300.0,73963.8828125,22545539
2024-03-15,73400.0,73700.0,72300.0,72300.0,71972.9296875,22580555
2024-03-18,72600.0,73000.0,72500.0,72800.0,72470.6640625,11520348
2024-03-19,72300.0,73000.0,71700.0,72800.0,72470.6640625,15376066
2024-03-20,73700.0,77200.0,73400.0,76900.0,76552.1171875,50106297
2024-03-21,79200.0,79300.0,77700.0,79300.0,78941.2578125,44569799
2024-03-22,79600.0,79900.0,77800.0,78900.0,78543.0703125,26724761
2024-03-25,79600.0,79800.0,77800.0,78200.0,77846.234375,18703996
2024-03-26,79700.0,80100.0,79200.0,79900.0,79538.546875,30551494
2024-03-27,79200.0,80000.0,79200.0,79800.0,79439.0,17424595
2024-03-28,79400.0,81000.0,79200.0,80800.0,80800.0,25084812
2024-03-29,81200.0,82500.0,80900.0,82400.0,82400.0,27126366
2024-04-01,83200.0,83300.0,82000.0,82000.0,82000.0,20116513
2024-04-02,82900.0,85000.0,82900.0,85000.0,85000.0,37077944
2024-04-03,84300.0,85000.0,83500.0,84100.0,84100.0,30493347
2024-04-04,85200.0,85500.0,84300.0,85300.0,85300.0,25248934
2024-04-05,84500.0,85000.0,83800.0,84500.0,84500.0,18883752
